iter	Passed	Remaining
766	1441	437
767	1443	435
768	1445	434
769	1447	432
770	1449	430
771	1452	428
772	1454	427
773	1457	425
774	1459	423
775	1461	421
776	1463	419
777	1465	418
778	1466	416
779	1468	414
780	1470	412
781	1473	410
782	1475	409
783	1478	407
784	1480	405
785	1482	403
786	1484	401
787	1486	399
788	1489	398
789	1491	396
790	1492	394
791	1495	392
792	1497	390
793	1499	389
794	1501	387
795	1503	385
796	1506	383
797	1508	381
798	1510	379
799	1511	377
800	1513	376
801	1515	374
802	1517	372
803	1520	370
804	1521	368
805	1523	366
806	1525	364
807	1528	363
808	1529	361
809	1531	359
810	1534	357
811	1536	355
812	1538	353
813	1540	351
814	1542	350
815	1543	348
816	1545	346
817	1547	344
818	1550	342
819	1552	340
820	1554	338
821	1556	337
822	1558	335
823	1559	333
824	1561	331
825	1563	329
826	1566	327
827	1567	325
828	1569	323
829	1571	321
830	1573	320
831	1575	318
832	1577	316
833	1579	314
834	1581	312
835	1583	310
836	1585	308
837	1587	306
838	1589	304
839	1591	303
840	1593	301
841	1596	299
842	1598	297
843	1600	295
844	1601	293
845	1603	291
846	1605	289
847	1607	288
848	1610	286
849	1612	284
850	1615	282
851	1617	280
852	1619	279
853	1621	277
854	1623	275
855	1625	273
856	1628	271
857	1630	269
858	1633	268
859	1635	266
860	1637	264
861	1640	262
862	1643	260
863	1645	259
864	1648	257
865	1651	255
866	1654	253
867	1656	251
868	1659	250
869	1663	248
870	1665	246
871	1669	244
872	1671	243
873	1674	241
874	1677	239
875	1680	237
876	1683	236
877	1685	234
878	1688	232
879	1689	230
880	1691	228
881	1695	226
882	1697	224
883	1699	223
884	1701	221
885	1703	219
886	1705	217
887	1707	215
888	1710	213
889	1712	211
890	1714	209
891	1716	207
892	1718	205
893	1719	203
894	1721	202
895	1724	200
896	1727	198
897	1728	196
898	1730	194
899	1732	192
900	1734	190
901	1736	188
902	1739	186
903	1742	185
904	1744	183
905	1746	181
906	1749	179
907	1751	177
908	1753	175
909	1756	173
910	1758	171
911	1760	169
912	1762	167
913	1764	165
914	1766	164
915	1769	162
916	1773	160
917	1775	158
918	1777	156
919	1780	154
920	1783	153
921	1788	151
922	1791	149
923	1794	147
924	1797	145
925	1799	143
926	1802	141
927	1805	140
928	1808	138
929	1810	136
930	1812	134
931	1815	132
932	1817	130
933	1822	128
934	1824	126
935	1827	124
936	1829	123
937	1833	121
938	1837	119
939	1840	117
940	1842	115
941	1844	113
942	1846	111
943	1848	109
944	1849	107
945	1853	105
946	1856	103
